Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh,Latitude,Longitude
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,2.4 Crore,12631,Super Built Up Area,3,3,8,1 to 5 Year,Ready To Move,1900.0,Manpada Thane,240.0,19.2353185,72.9759496
Legend 1 Pramila Nagar ,Dahisar West Mumbai,95 Lac,15966,Super Built Up Area,1,2,3,10+ Year,Ready To Move,595.0,Dahisar Mumbai,95.0,19.0648226,72.8373616
Varun Garden ,Manpada Thane Mumbai,2.2 Crore,14666,Super Built Up Area,3,3,7,5 to 10 Year,Ready To Move,1500.0,Manpada Thane,220.0,19.2353185,72.9759496
Green Court ,702 Andheri West Mumbai,2.75 Crore,34810,Built Up Area,2,2,7,5 to 10 Year,Ready To Move,1200.0,Andheri Mumbai,275.0,19.1172495,72.833968
Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,70 Lac,11111,Carpet Area,2,2,5,10+ Year,Ready To Move,630.0,Kalamboli Navi-Mumbai,70.0,19.0235062,73.11060918969079
Unnamed Property,402 Malad West Mumbai,2.75 Crore,34810,Carpet Area,3,3,4,10+ Year,Ready To Move,790.0,Malad Mumbai,275.0,19.1840129,72.8412155
Unnamed Property,Goregaon West Mumbai,2.25 Crore,26041,Built Up Area,2,2,7,10+ Year,Ready To Move,864.0,Goregaon Mumbai,225.0,19.1633281,72.8411995
Unnamed Property,Ulwe Navi Mumbai Mumbai,78 Lac,8705,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,896.0,Ulwe Navi-Mumbai,78.0,18.97686135,73.0201311109118
Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,1.25 Crore,18656,Built Up Area,2,2,5,1 to 5 Year,Ready To Move,670.0,Estate Thane,125.0,19.2099361,72.9615435
Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,1.35 Crore,14062,Built Up Area,2,2,3,10+ Year,Ready To Move,960.0,Koparkhairane Navi-Mumbai,135.0,19.1058398,72.999981
Lodha Splendora ,Ghodbunder Road Thane Mumbai,1.35 Crore,18169,Carpet Area,2,2,26,5 to 10 Year,Ready To Move,743.0,Road Thane,135.0,19.2777851,72.957062
Lodha Palava Downtown ,Dombivli East Thane Mumbai,42 Lac,10552,Carpet Area,1,2,11,0 to 1 Year,Ready To Move,398.0,Dombivli Thane,42.0,19.2111814,73.091129
Unnamed Property,Sector 16 Vashi Navi Mumbai Mumbai,2.25 Crore,18000,Carpet Area,2,2,2,10+ Year,Ready To Move,1250.0,Vashi Navi-Mumbai,225.0,19.0692829,73.0010786
Unnamed Property,Chakala Mumbai,55 Lac,18333,Built Up Area,1,1,5,10+ Year,Ready To Move,300.0,Chakala Mumbai,55.0,19.1152873,72.8618085
Unnamed Property,201 Panvel Navi Mumbai Mumbai,28 Lac,5000,Carpet Area,1,2,2,5 to 10 Year,Ready To Move,560.0,Panvel Navi-Mumbai,28.0,19.0298386,73.0308805
Bhanushanti Complex ,Malad East Malad East Mumbai,1 Crore,13889,Carpet Area,1,2,3,5 to 10 Year,Ready To Move,720.0,Malad Malad,100.0,19.1867193,72.8485884
Unnamed Property,Malad West Mumbai,2.5 Crore,16666,Built Up Area,3,3,15,10+ Year,Ready To Move,1500.0,Malad Mumbai,250.0,19.1840129,72.8412155
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,1.05 Crore,8076,Super Built Up Area,3,3,16,0 to 1 Year,Ready To Move,1690.0,Panvel Navi-Mumbai,105.0,19.0392786,73.0992311
Parinee Essence ,Kandivali West Mumbai,1.4 Crore,25134,Carpet Area,2,2,7,0 to 1 Year,Ready To Move,557.0,Kandivali Mumbai,140.0,19.2084002,72.8422235
Lalani Grandeur ,Goregaon East Mumbai,3.8 Crore,24820,Built Up Area,3,3,15,1 to 5 Year,Ready To Move,1531.0,Goregaon Mumbai,380.0,19.1692623,72.8552548
Unnamed Property,Jogeshwari West Mumbai,1.8 Crore,28125,Carpet Area,2,2,8,5 to 10 Year,Ready To Move,640.0,Jogeshwari Mumbai,180.0,19.136394,72.8373817
Spring Hills ,901 Hiranandani Estate Thane Mumbai,2.56 Crore,18091,Super Built Up Area,3,3,9,10+ Year,Ready To Move,1415.0,Hiranandani-Estate Thane,256.0,19.2570093,72.98392629891234
Unnamed Property,4 14 Andheri East Mumbai,1.15 Crore,18852,Built Up Area,1,1,1,10+ Year,Ready To Move,610.0,Andheri Mumbai,115.0,19.1158835,72.854202
Unnamed Property,Thane West Thane Mumbai,1.2 Crore,14118,Built Up Area,2,2,3,10+ Year,Ready To Move,850.0,Thane Thane,120.0,19.03160615,73.01425130283573
Gami Vivaan ,Koparkhairane Navi Mumbai Mumbai,2.95 Crore,411436,Carpet Area,3,3,11,1 to 5 Year,Ready To Move,71.7,Koparkhairane Navi-Mumbai,295.0,19.10083655,72.99854110561807
Unnamed Property,Borivali West Mumbai,3.5 Crore,28000,Carpet Area,3,3,3,10+ Year,Ready To Move,1250.0,Borivali Mumbai,350.0,19.2294561,72.8479905
