Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
Omkar Alta Monte ,W E Highway Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2900,17241,14,3,4,500
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1900,12631,8,3,3,240
Legend 1 Pramila Nagar ,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,595,15966,3,1,2,95
Unnamed Property,Vidyavihar West Vidyavihar West Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1450,25862,1,3,3,375
Unnamed Property,176 Cst Road Kalina Mumbai 400098 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,876,39954,5,2,2,350
Varun Garden ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1500,14666,7,3,3,220
Unnamed Property,V P Road Near Q Deck Family Restaurant And Bar Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Built Up Area,525,31428,1,1,2,165
Unnamed Property,Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,583,24013,3,2,2,140
Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1010,6435,1,3,3,65
Sunteck West World ,701 702 Naigaon East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,788,10250,7,2,4,86
Green Court ,702 Andheri West Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1200,34810,7,2,2,275
Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,630,11111,5,2,2,70
Unnamed Property,402 Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,790,34810,4,3,3,275
Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,864,26041,7,2,2,225
Unnamed Property,New Madha Row House Colony Pawar Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Plot Area,1260,12698,2,2,2,160
Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,896,8705,3,1,1,78
