Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Yogsiddhi Sumukh Hills ,"703, Kandivali East, Mumbai Andheri-Dahisar, Mumbai",1.65 Crore,"26,612",Carpet area: 620 (57.6 sq.m.),2.0,2.0,7th  ,0 to 1 Year Old, Ready to move
Raunak Unnathi Woods Phase 6 ," Thane West, Thane, Mumbai",85 Lac,"8,594",Super Built up area 989(91.88 sq.m.)Carpet area: 623 sq.ft. (57.88 sq.m.),2.0,2.0,5th  ,1 to 5 Year Old, Ready to move
Prasham Vishal 2 ,"602, Borivali West, Mumbai Andheri-Dahisar, Mumbai",3.05 Crore,"33,738",Carpet area: 904 (83.98 sq.m.),3.0,3.0,6th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Malad West, Mumbai Andheri-Dahisar, Mumbai",72 Lac,"14,400",Carpet area: 500 (46.45 sq.m.),1.0,1.0,5th  ,10+ Year Old, Ready to move
Vijay Park ," Kasar vadavali, Thane, Mumbai",48.5 Lac,"8,083",Super Built up area 600(55.74 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1.0,1.0,3rd  ,10+ Year Old, Ready to move
Omkar Alta Monte ,"Omkar Alta Monte Malad East, Malad East, Mumbai Andheri-Dahisar, Mumbai",3.18 Crore,"25,645",Super Built up area 1750(162.58 sq.m.)Built Up area: 1450 sq.ft. (134.71 sq.m.)Carpet area: 1240 sq.ft. (115.2 sq.m.),3.0,3.0,39th  ,0 to 1 Year Old, Ready to move
Haware Tiara ," Sector 13 Kharghar, Navi Mumbai, Mumbai",1.7 Crore,"10,967",Built Up area: 1550 (144 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,3.0,11st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Kharghar, Navi Mumbai, Mumbai",92 Lac,"7,666",Super Built up area 1200(111.48 sq.m.)Built Up area: 1050 sq.ft. (97.55 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2.0,4th  ,10+ Year Old, Ready to move
Sai Ashirwad ," Mira Road, Mira Road And Beyond, Mumbai",36.5 Lac,"10,138",Super Built up area 360(33.45 sq.m.)Carpet area: 270 sq.ft. (25.08 sq.m.),1.0,1.0,Ground,10+ Year Old, Ready to move
Advance Heights ," Kharghar, Navi Mumbai, Mumbai",1 Crore,"8,849",Super Built up area 1130(104.98 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,13rd  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Ghotkamp Koyana Vele, Navi Mumbai, Mumbai",45 Lac,"7,500",Carpet area: 600 (55.74 sq.m.),2.0,2.0,2nd  ,0 to 1 Year Old, Ready to move
Siddhivinayak Garima ," Taloja, Navi Mumbai, Mumbai",32 Lac,"8,000",Carpet area: 400 (37.16 sq.m.),1.0,2.0,2nd  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Juhu, Mumbai South West, Mumbai",24 Crore,"42,105",Super Built up area 5700(529.55 sq.m.)Built Up area: 4560 sq.ft. (423.64 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),4.0,4.0,1st  ,10+ Year Old, Ready to move Property
Toll Free 1800 41 99099," Juhu, Mumbai South West, Mumbai",4.5 Crore,"30,000",Super Built up area 1500(139.35 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,3.0,5th  ,5 to 10 Year Old, Ready to move Property
Gajora Kalpavruksha Valley ," Sector 23 Taloja, Navi Mumbai, Mumbai",42 Lac,84,Carpet area: 49454 (4594.43 sq.m.),1.0,2.0,1st  ,0 to 1 Year Old, Ready to move
Sai Kaveesha ," Taloja, Navi Mumbai, Mumbai",36 Lac,"8,571",Carpet area: 420 (39.02 sq.m.),1.0,1.0,10th  ,0 to 1 Year Old, Ready to move
Sai Kaveesha ," Taloja, Navi Mumbai, Mumbai",35 Lac,"8,313",Carpet area: 421 (39.11 sq.m.),1.0,1.0,11st  ,0 to 1 Year Old, Ready to move
Paradise Sai Riverdale ," Taloja Panchanand, Navi Mumbai, Mumbai",80 Lac,"7,174",Super Built up area 1115(103.59 sq.m.),2.0,2.0,3rd  ,1 to 5 Year Old, Ready to move
Baline Residency ," Taloja Panchanand, Navi Mumbai, Mumbai",75 Lac,"7,352",Super Built up area 1020(94.76 sq.m.),2.0,2.0,3rd  ,1 to 5 Year Old, Ready to move
Baline Residency ," Taloja Panchanand, Navi Mumbai, Mumbai",75 Lac,"6,521",Super Built up area 1150(106.84 sq.m.),2.0,2.0,2nd  ,1 to 5 Year Old, Ready to move
A D Sivana ," Murbad, Mumbai Beyond Thane, Mumbai",8.8 Lac,475,Plot area 1851(171.96 sq.m.),,,,Dec 2023, Under Construction
Toll Free 1800 41 99099," Dahisar West, Mumbai Andheri-Dahisar, Mumbai",1.46 Crore,"27,238",Carpet area: 536 (49.8 sq.m.),2.0,2.0,1st  ,1 to 5 Year Old, Ready to move Property
