Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh
Omkar Alta Monte ,W E Highway Malad East Mumbai,5 Crore,17241,Super Built Up Area,3,4,14,0 to 1 Year,Ready To Move,2900,Highway Malad,500.0
T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,2.4 Crore,12631,Super Built Up Area,3,3,8,1 to 5 Year,Ready To Move,1900,Manpada Thane,240.0
Legend 1 Pramila Nagar ,Dahisar West Mumbai,95 Lac,15966,Super Built Up Area,1,2,3,10+ Year,Ready To Move,595,Dahisar Mumbai,95.0
Unnamed Property,Vidyavihar West Vidyavihar West Central Mumbai suburbs Mumbai,3.75 Crore,25862,Built Up Area,3,3,1,5 to 10 Year,Ready To Move,1450,Central Mumbai,375.0
Unnamed Property,176 Cst Road Kalina Mumbai 400098 Santacruz East Mumbai South West Mumbai,3.5 Crore,39954,Carpet Area,2,2,5,5 to 10 Year,Ready To Move,876,Santacruz Mumbai,350.0
Varun Garden ,Manpada Thane Mumbai,2.2 Crore,14666,Super Built Up Area,3,3,7,5 to 10 Year,Ready To Move,1500,Manpada Thane,220.0
Unnamed Property,V P Road Near Q Deck Family Restaurant And Bar Vile Parle West Mumbai South West Mumbai,1.65 Crore,31428,Built Up Area,1,2,1,1 to 5 Year,Ready To Move,525,Parle Mumbai,165.0
Unnamed Property,Nahur East Central Mumbai suburbs Mumbai,1.4 Crore,24013,Carpet Area,2,2,3,10+ Year,Ready To Move,583,Central Mumbai,140.0
Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,65 Lac,6435,Super Built Up Area,3,3,1,5 to 10 Year,Ready To Move,1010,Mumbai Thane,65.0
Sunteck West World ,701 702 Naigaon East Mira Road And Beyond Mumbai,86 Lac,10250,Carpet Area,2,4,7,0 to 1 Year,Ready To Move,788,Mira Road,86.0
Green Court ,702 Andheri West Mumbai,2.75 Crore,34810,Built Up Area,2,2,7,5 to 10 Year,Ready To Move,1200,Andheri Mumbai,275.0
Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,70 Lac,11111,Carpet Area,2,2,5,10+ Year,Ready To Move,630,Kalamboli Navi-Mumbai,70.0
Unnamed Property,402 Malad West Mumbai,2.75 Crore,34810,Carpet Area,3,3,4,10+ Year,Ready To Move,790,Malad Mumbai,275.0
Unnamed Property,Goregaon West Mumbai,2.25 Crore,26041,Built Up Area,2,2,7,10+ Year,Ready To Move,864,Goregaon Mumbai,225.0
Unnamed Property,New Madha Row House Colony Pawar Nagar Thane Mumbai,1.6 Crore,12698,Plot Area,2,2,2,10+ Year,Ready To Move,1260,Nagar Thane,160.0
Unnamed Property,Ulwe Navi Mumbai Mumbai,78 Lac,8705,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,896,Ulwe Navi-Mumbai,78.0
Haware Silicon Tower ,Plot No 46 Sector 30 A Vashi Navi Mumbai 400705 Palm Beach Navi Mumbai Mumbai,2.89 Crore,16580,Super Built Up Area,3,3,8,10+ Year,Ready To Move,1985,Beach Navi-Mumbai,289.0
Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,1.25 Crore,18656,Built Up Area,2,2,5,1 to 5 Year,Ready To Move,670,Estate Thane,125.0
Unnamed Property,302 Koparkhairane Navi Mumbai Mumbai,1.35 Crore,14062,Built Up Area,2,2,3,10+ Year,Ready To Move,960,Koparkhairane Navi-Mumbai,135.0
Lodha Splendora ,Ghodbunder Road Thane Mumbai,1.35 Crore,18169,Carpet Area,2,2,26,5 to 10 Year,Ready To Move,743,Road Thane,135.0
Lodha Palava Downtown ,Dombivli East Thane Mumbai,42 Lac,10552,Carpet Area,1,2,11,0 to 1 Year,Ready To Move,398,Dombivli Thane,42.0
Unnamed Property,Sector 16 Vashi Navi Mumbai Mumbai,2.25 Crore,18000,Carpet Area,2,2,2,10+ Year,Ready To Move,1250,Vashi Navi-Mumbai,225.0
Unnamed Property,101 Bandra East Mumbai South West Mumbai,2 Crore,24390,Carpet Area,2,2,11,10+ Year,Ready To Move,820,Bandra Mumbai,200.0
Unnamed Property,Ghatkopar East Central Mumbai suburbs Mumbai,4.8 Crore,32876,Carpet Area,3,3,5,5 to 10 Year,Ready To Move,1460,Central Mumbai,480.0
Gauri Excellency ,2105 2106 Charkop Mumbai,4.4 Crore,19730,Carpet Area,4,4,21,Under Construction,Under Construction,2230,Charkop Mumbai,440.0
Unnamed Property,Laxmi Keshav Bhiwandi Mumbai Beyond Thane Mumbai Bhiwandi Mumbai Beyond Thane Mumbai,45 Lac,5300,Built Up Area,1,1,3,1 to 5 Year,Ready To Move,855,Mumbai Thane,45.0
Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,98 Lac,9193,Super Built Up Area,2,2,13,0 to 1 Year,Ready To Move,1066,Vadavali Thane,98.0
Unnamed Property,Sector 19 Ulwe Navi Mumbai Mumbai,30 Lac,10869,Carpet Area,1,1,2,10+ Year,Ready To Move,276,Ulwe Navi-Mumbai,30.0
Unnamed Property,Chakala Mumbai,55 Lac,18333,Built Up Area,1,1,5,10+ Year,Ready To Move,300,Chakala Mumbai,55.0
Unnamed Property,203 Seven Bunglow Mumbai,2.55 Crore,40800,Carpet Area,2,2,2,10+ Year,Ready To Move,625,Seven Bunglow,255.0
