Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Omkar Alta Monte ,"W.E.Highway, Malad East,  Mumbai",5 Crore,"17,241",Super Built up area 2900(269.42 sq.m.)Built Up area: 2700 sq.ft. (250.84 sq.m.)Carpet area: 1833 sq.ft. (170.29 sq.m.),3,4,14th  ,0 to 1 Year Old, Ready to move
T Bhimjyani Neelkanth Woods ," Manpada, Thane, Mumbai",2.4 Crore,"12,631",Super Built up area 1900(176.52 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,8th  ,1 to 5 Year Old, Ready to move Property
Legend 1 Pramila Nagar ," Dahisar West,  Mumbai",95 Lac,"15,966",Super Built up area 595(55.28 sq.m.),1,2,3rd  ,10+ Year Old, Ready to move
Unnamed Property,"Vidyavihar West, Vidyavihar West, Central Mumbai suburbs, Mumbai",3.75 Crore,"25,862",Built Up area: 1450 (134.71 sq.m.),3,3,1st  ,5 to 10 Year Old, Ready to move
Unnamed Property,"176 Cst Road, Kalina, Mumbai 400098, Santacruz East, Mumbai South West, Mumbai",3.5 Crore,"39,954",Carpet area: 876 (81.38 sq.m.),2,2,5th  ,5 to 10 Year Old, Ready to move
Varun Garden ," Manpada, Thane, Mumbai",2.2 Crore,"14,666",Super Built up area 1500(139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,7th  ,5 to 10 Year Old, Ready to move
Unnamed Property,"V.P. Road Near Q Deck Family Restaurant And Bar, Vile Parle West, Mumbai South West, Mumbai",1.65 Crore,"31,428",Built Up area: 525 (48.77 sq.m.),1,2,1st  ,1 to 5 Year Old, Ready to move
Unnamed Property," Nahur East, Central Mumbai suburbs, Mumbai",1.4 Crore,"24,013",Carpet area: 583 (54.16 sq.m.),2,2,3rd  ,10+ Year Old, Ready to move
Unnamed Property," Kalyan East, Mumbai Beyond Thane, Mumbai",65 Lac,"6,435",Super Built up area 1010(93.83 sq.m.),3,3,1st  ,5 to 10 Year Old, Ready to move
Sunteck West World ,"701, 702, Naigaon East, Mira Road And Beyond, Mumbai",86 Lac,"10,250",Carpet area: 788 (73.21 sq.m.),2,4,7th  ,0 to 1 Year Old, Ready to move
Green Court ,"702, Andheri West,  Mumbai",2.75 Crore,"34,810",Built Up area: 1200 (111.48 sq.m.)Carpet area: 790 sq.ft. (73.39 sq.m.),2,2,7th  ,5 to 10 Year Old, Ready to move
Balaji Galaxy ,"502, Kalamboli, Navi-Mumbai, Mumbai",70 Lac,"11,111",Carpet area: 630 (58.53 sq.m.),2,2,5th  ,10+ Year Old, Ready to move
Unnamed Property,"402, Malad West,  Mumbai",2.75 Crore,"34,810",Carpet area: 790 (73.39 sq.m.),3,3,4th  ,10+ Year Old, Ready to move
Unnamed Property," Goregaon West,  Mumbai",2.25 Crore,"26,041",Built Up area: 864 (80.27 sq.m.)Carpet area: 644 sq.ft. (59.83 sq.m.),2,2,7th  ,10+ Year Old, Ready to move
Unnamed Property,"New Madha Row House Colony, Pawar Nagar, Thane, Mumbai",1.6 Crore,"12,698",Plot area 1260(117.06 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 930 sq.ft. (86.4 sq.m.),2,2,2,10+ Year Old, Ready to move
Unnamed Property," Ulwe, Navi-Mumbai, Mumbai",78 Lac,"8,705",Super Built up area 896(83.24 sq.m.),1,1,3rd  ,1 to 5 Year Old, Ready to move
Haware Silicon Tower ,"Plot No. 46 Sector 30 A, Vashi, Navi-Mumbai - 400705, Palm Beach, Navi-Mumbai, Mumbai",2.89 Crore,"16,580",Super Built up area 1985(184.41 sq.m.)Built Up area: 1743 sq.ft. (161.93 sq.m.),3,3,8th  ,10+ Year Old, Ready to move
Unnamed Property,"Shri Nagar, Wagle Estate, Thane, Mumbai",1.25 Crore,"18,656",Built Up area: 670 (62.25 sq.m.)Carpet area: 500 sq.ft. (46.45 sq.m.),2,2,5th  ,1 to 5 Year Old, Ready to move
Unnamed Property,"302, Koparkhairane, Navi-Mumbai, Mumbai",1.35 Crore,"14,062",Built Up area: 960 (89.19 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,3rd  ,10+ Year Old, Ready to move
Lodha Splendora ," Ghodbunder Road, Thane, Mumbai",1.35 Crore,"18,169",Carpet area: 743 (69.03 sq.m.),2,2,26th  ,5 to 10 Year Old, Ready to move
Lodha Palava Downtown ," Dombivli East Thane, Mumbai",42 Lac,"10,552",Carpet area: 398 (36.98 sq.m.),1,2,11st  ,0 to 1 Year Old, Ready to move
Unnamed Property," Sector 16 Vashi, Navi-Mumbai, Mumbai",2.25 Crore,"18,000",Carpet area: 1250 (116.13 sq.m.),2,2,2nd  ,10+ Year Old, Ready to move
Unnamed Property,"101, Bandra East, Mumbai South West, Mumbai",2 Crore,"24,390",Carpet area: 820 (76.18 sq.m.),2,2,11st  ,10+ Year Old, Ready to move
Unnamed Property," Ghatkopar East, Central Mumbai suburbs, Mumbai",4.8 Crore,"32,876",Carpet area: 1460 (135.64 sq.m.),3,3,5th  ,5 to 10 Year Old, Ready to move
Gauri Excellency ,"2105 & 2106, Charkop,  Mumbai",4.4 Crore,"19,730",Carpet area: 2230 (207.17 sq.m.),4,4,21st  ,Under Construction, Under Construction
Unnamed Property,"Laxmi Keshav, Bhiwandi, Mumbai Beyond Thane, Mumbai, Bhiwandi, Mumbai Beyond Thane, Mumbai",45 Lac,"5,300",Built Up area: 855 (79.43 sq.m.)Carpet area: 600 sq.ft. (55.74 sq.m.),1,1,3rd  ,1 to 5 Year Old, Ready to move
Puraniks Tokyo Bay ," Kasar vadavali, Thane, Mumbai",98 Lac,"9,193",Super Built up area 1066(99.03 sq.m.),2,2,13rd  ,0 to 1 Year Old, Ready to move
Unnamed Property," Sector 19 Ulwe, Navi-Mumbai, Mumbai",30 Lac,"10,869",Carpet area: 276 (25.64 sq.m.),1,1,2nd  ,10+ Year Old, Ready to move
Unnamed Property," Chakala,  Mumbai",55 Lac,"18,333",Built Up area: 300 (27.87 sq.m.)Carpet area: 225 sq.ft. (20.9 sq.m.),1,1,5th  ,10+ Year Old, Ready to move
Unnamed Property,"203, Seven Bunglow,  Mumbai",2.55 Crore,"40,800",Carpet area: 625 (58.06 sq.m.),2,2,2nd  ,10+ Year Old, Ready to move
Unnamed Property,"201, Panvel, Navi-Mumbai, Mumbai",28 Lac,"5,000",Carpet area: 560 (52.03 sq.m.),1,2,2nd  ,5 to 10 Year Old, Ready to move
Varsha Balaji Heritage ," Sector 11 Kharghar, Navi-Mumbai, Mumbai",2.6 Crore,"15,294",Super Built up area 1700(157.94 sq.m.),3,3,13rd  ,5 to 10 Year Old, Ready to move
Bhanushanti Complex ,"Malad East, Malad East,  Mumbai",1 Crore,"13,889",Carpet area: 720 (66.89 sq.m.),1,2,3rd  ,5 to 10 Year Old, Ready to move
Sagar Mahal ,"Walkeshwar Road, Malabar Hill, Walkeshwar, South Mumbai, Mumbai",8.13 Crore,"65,000",Built Up area: 1250 (116.13 sq.m.),2,3,Ground,10+ Year Old, Ready to move
Unnamed Property," Malad West,  Mumbai",2.5 Crore,"16,666",Built Up area: 1500 (139.35 sq.m.)Carpet area: 903 sq.ft. (83.89 sq.m.),3,3,15th  ,10+ Year Old, Ready to move
Indiabulls Greens ," Panvel, Navi-Mumbai, Mumbai",1.05 Crore,"8,076",Super Built up area 1690(157.01 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,3,16th  ,0 to 1 Year Old, Ready to move
Unnamed Property,"Near D Mart, Sector 5 New Panvel East, Navi-Mumbai, Mumbai",53 Lac,"10,096",Built Up area: 525 (48.77 sq.m.),1,1,3rd  ,10+ Year Old, Ready to move
Unnamed Property,"202, Plot No 157., Sector 12 Vashi, Navi-Mumbai, Mumbai",1.3 Crore,"11,981",Super Built up area 1085(100.8 sq.m.)Carpet area: 770 sq.ft. (71.54 sq.m.),3,2,2nd  ,10+ Year Old, Ready to move
Samarth Garden ," Bhandup West, Central Mumbai suburbs, Mumbai",1.8 Crore,"22,443",Super Built up area 802(74.51 sq.m.),2,2,20th  ,1 to 5 Year Old, Ready to move
Swan Lake Apartment ,"1/101, Khar West, Mumbai South West, Mumbai",18 Crore,"66,298",Carpet area: 2715 (252.23 sq.m.),4,4,Ground,10+ Year Old, Ready to move
Unnamed Property," Sindhi Society Chembur, Mumbai Harbour, Mumbai",1.3 Crore,"22,335",Super Built up area 591(54.91 sq.m.)Carpet area: 414 sq.ft. (38.46 sq.m.),1,2,2nd  ,10+ Year Old, Ready to move
Parinee Essence ," Kandivali West,  Mumbai",1.4 Crore,"25,134",Carpet area: 557 (51.75 sq.m.),2,2,7th  ,0 to 1 Year Old, Ready to move
Lalani Grandeur ," Goregaon East,  Mumbai",3.8 Crore,"24,820",Built Up area: 1531 (142.23 sq.m.),3,3,15th  ,1 to 5 Year Old, Ready to move
Unnamed Property,"A-74, Santacruz East, Mumbai South West, Mumbai",2.3 Crore,"23,469",Super Built up area 980(91.04 sq.m.)Carpet area: 654 sq.ft. (60.76 sq.m.),2,2,7th  ,0 to 1 Year Old, Ready to move
Unnamed Property," Jogeshwari West,  Mumbai",1.8 Crore,"28,125",Carpet area: 640 (59.46 sq.m.),2,2,8th  ,5 to 10 Year Old, Ready to move
Spring Hills ,"901, Hiranandani-Estate, Thane, Mumbai",2.56 Crore,"18,091",Super Built up area 1415(131.46 sq.m.),3,3,9th  ,10+ Year Old, Ready to move
Unnamed Property,"4/14, Andheri East,  Mumbai",1.15 Crore,"18,852",Built Up area: 610 (56.67 sq.m.),1,1,1st  ,10+ Year Old, Ready to move
Unnamed Property," Charni Road, South Mumbai, Mumbai",3 Crore,"31,578",Carpet area: 950 (88.26 sq.m.),3,1,4th  ,10+ Year Old, Ready to move
Unnamed Property,"Building No. 67, Pant Nagar, Central Mumbai suburbs, Mumbai",1.9 Crore,"30,303",Carpet area: 627 (58.25 sq.m.),2,2,12nd  ,0 to 1 Year Old, Ready to move
Unnamed Property," Thane West, Thane, Mumbai",1.2 Crore,"14,118",Built Up area: 850 (78.97 sq.m.),2,2,3rd  ,10+ Year Old, Ready to move
Shyam Niwas Apartment ," Chembur, Mumbai Harbour, Mumbai",2.75 Crore,"22,339",Super Built up area 1231(114.36 sq.m.),3,3,5th  ,10+ Year Old, Ready to move
Gami Vivaan ," Koparkhairane, Navi-Mumbai, Mumbai",2.95 Crore,"4,11,436",Carpet area: 71.7 ,3,3,11st  ,1 to 5 Year Old, Ready to move
Unnamed Property," Borivali West,  Mumbai",3.5 Crore,"28,000",Carpet area: 1250 (116.13 sq.m.),3,3,3rd  ,10+ Year Old, Ready to move
Unnamed Property,"Flat No. 201 Near Karnik Road, Kalyan West, Mumbai Beyond Thane, Mumbai",75 Lac,"8,610",Built Up area: 871 (80.92 sq.m.),2,2,2nd  ,5 to 10 Year Old, Ready to move
Unnamed Property," Nalasopara West, Mira Road And Beyond, Mumbai",35 Lac,"5,882",Carpet area: 595 (55.28 sq.m.),2,1,3rd  ,5 to 10 Year Old, Ready to move
Bharat Shiv Sai Paradise ," Majiwada, Thane, Mumbai",1.15 Crore,"17,692",Super Built up area 951(88.35 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2,2,1st  ,5 to 10 Year Old, Ready to move
Unnamed Property," Dadar west, Mumbai South West, Mumbai",4.75 Crore,"40,254",Built Up area: 1180 (109.63 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),3,2,4th  ,10+ Year Old, Ready to move
Unnamed Property,"Gajanan Colony Road, Jawahar Nagar, Goregaon West,  Mumbai",2.15 Crore,"24,712",Carpet area: 870 (80.83 sq.m.),3,3,2nd  ,1 to 5 Year Old, Ready to move
Unnamed Property," Dahisar East,  Mumbai",3 Crore,"15,000",Built Up area: 2000 (185.81 sq.m.),3,3,3,5 to 10 Year Old, Ready to move
Unnamed Property,"Katrap, Badlapur East, Mumbai Beyond Thane, Mumbai",41.5 Lac,"4,391",Carpet area: 945 (87.79 sq.m.),2,2,4th  ,1 to 5 Year Old, Ready to move
Fortune Springs ,"1003, Kharghar, Navi-Mumbai, Mumbai",68 Lac,"15,454",Built Up area: 670 (62.25 sq.m.)Carpet area: 440 sq.ft. (40.88 sq.m.),1,1,10th  ,1 to 5 Year Old, Ready to move
Lodha Casa Ultima ,"A-404, Chirak Nagar, Thane, Mumbai",78 Lac,"13,132",Super Built up area 594(55.18 sq.m.)Built Up area: 500 sq.ft. (46.45 sq.m.)Carpet area: 420 sq.ft. (39.02 sq.m.),1,2,4th  ,10+ Year Old, Ready to move
Unnamed Property,"2d 203 Near Lokhandwala Circle, New Mhada Verosva, Versova,  Mumbai",1.8 Crore,"25,899",Carpet area: 695 (64.57 sq.m.),2,2,2nd  ,10+ Year Old, Ready to move
Unnamed Property,"Borivali West, Borivali West,  Mumbai",2.56 Crore,"32,989",Carpet area: 776 (72.09 sq.m.),2,1,3rd  ,10+ Year Old, Ready to move
