Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
0,Omkar Alta Monte ,W E Highway Malad East Mumbai,Malad Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,2900.0,17241,14,3,4,500.0
1,T Bhimjyani Neelkanth Woods ,Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1900.0,12631,8,3,3,240.0
2,Legend 1 Pramila Nagar ,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Super Built Up Area,595.0,15966,3,1,2,95.0
3,Unnamed Property,Vidyavihar West Vidyavihar West Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1450.0,25862,1,3,3,375.0
4,Unnamed Property,176 Cst Road Kalina Mumbai 400098 Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,5 to 10 Year,Ready To Move,Carpet Area,876.0,39954,5,2,2,350.0
5,Varun Garden ,Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1500.0,14666,7,3,3,220.0
6,Unnamed Property,V P Road Near Q Deck Family Restaurant And Bar Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Built Up Area,525.0,31428,1,1,2,165.0
7,Unnamed Property,Nahur East Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Carpet Area,583.0,24013,3,2,2,140.0
8,Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Super Built Up Area,1010.0,6435,1,3,3,65.0
9,Sunteck West World ,701 702 Naigaon East Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,788.0,10250,7,2,4,86.0
10,Green Court ,702 Andheri West Mumbai,Andheri Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1200.0,34810,7,2,2,275.0
11,Balaji Galaxy ,502 Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,630.0,11111,5,2,2,70.0
12,Unnamed Property,402 Malad West Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,790.0,34810,4,3,3,275.0
13,Unnamed Property,Goregaon West Mumbai,Goregaon Mumbai,10+ Year,Ready To Move,Built Up Area,864.0,26041,7,2,2,225.0
14,Unnamed Property,New Madha Row House Colony Pawar Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Plot Area,1260.0,12698,2,2,2,160.0
15,Unnamed Property,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,896.0,8705,3,1,1,78.0
16,Haware Silicon Tower ,Plot No 46 Sector 30 A Vashi Navi Mumbai 400705 Palm Beach Navi Mumbai Mumbai,Palm Beach Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1985.0,16580,8,3,3,289.0
17,Unnamed Property,Shri Nagar Wagle Estate Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Built Up Area,670.0,18656,5,2,2,125.0
